subject_code,threshold,val_eer,test_auc,test_eer,test_accuracy,test_far,test_frr,TP,TN,FP,FN,best_params,n_train,n_val,n_test
s003,0.7175891715229952,0.025000000000000022,0.9997368421052631,0.002631578947368421,0.995,0.0,0.1,18.0,380.0,0.0,2.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s004,0.4310840770265241,0.0,0.9909210526315789,0.026315789473684233,0.9925,0.005263157894736842,0.05,19.0,378.0,2.0,1.0,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s005,0.3441108451610923,0.0513157894736842,0.9968421052631579,0.04078947368421055,0.99,0.002631578947368421,0.15,17.0,379.0,1.0,3.0,"{""C"": 50.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s009,0.2778779392550618,0.03289473684210528,0.9957894736842106,0.03815789473684213,0.975,0.02368421052631579,0.05,19.0,371.0,9.0,1.0,"{""C"": 50.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s011,0.08830466468545874,0.04210526315789476,1.0,0.0,0.9875,0.013157894736842105,0.0,20.0,375.0,5.0,0.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s012,0.16533067346948838,0.009210526315789473,0.9953947368421053,0.010526315789473684,0.9775,0.021052631578947368,0.05,19.0,372.0,8.0,1.0,"{""C"": 50.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s014,0.03105955432169525,0.10263157894736841,0.9767105263157896,0.05263157894736841,0.915,0.08421052631578947,0.1,18.0,348.0,32.0,2.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s015,0.2673311928646146,0.002631578947368421,0.9681578947368421,0.027631578947368444,0.9875,0.010526315789473684,0.05,19.0,376.0,4.0,1.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s018,0.07418886083161136,0.04342105263157897,0.9856578947368421,0.057894736842105284,0.955,0.042105263157894736,0.1,18.0,364.0,16.0,2.0,"{""C"": 50.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s019,0.05785508922717734,0.03947368421052634,0.9988157894736842,0.010526315789473684,0.9775,0.02368421052631579,0.0,20.0,371.0,9.0,0.0,"{""C"": 50.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s023,0.1446298104895267,0.030263157894736863,0.9914473684210526,0.048684210526315816,0.9725,0.02368421052631579,0.1,18.0,371.0,9.0,2.0,"{""C"": 50.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s027,0.05300717339560263,0.006578947368421052,0.9988157894736842,0.003947368421052632,0.9725,0.02894736842105263,0.0,20.0,369.0,11.0,0.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s030,0.2200912047963965,0.0,1.0,0.0,1.0,0.0,0.0,20.0,380.0,0.0,0.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s031,0.055056257268208945,0.03947368421052634,1.0,0.0,0.98,0.021052631578947368,0.0,20.0,372.0,8.0,0.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s034,0.3357798171053294,0.0013157894736842105,0.9997368421052631,0.002631578947368421,0.995,0.005263157894736842,0.0,20.0,378.0,2.0,0.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s035,0.5,0.002631578947368421,1.0,0.0,1.0,0.0,0.0,20.0,380.0,0.0,0.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s036,0.43532643245034786,0.025000000000000022,0.9992105263157894,0.002631578947368421,0.9925,0.005263157894736842,0.05,19.0,378.0,2.0,1.0,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s038,0.20957423958030197,0.026315789473684233,0.9998684210526315,0.0013157894736842105,0.995,0.005263157894736842,0.0,20.0,378.0,2.0,0.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s039,0.08612862846842874,0.04473684210526318,0.9799999999999999,0.03684210526315792,0.9725,0.02631578947368421,0.05,19.0,370.0,10.0,1.0,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
s040,0.4306011163494835,0.025000000000000022,0.9951315789473685,0.0592105263157895,0.9925,0.0,0.15,17.0,380.0,0.0,3.0,"{""C"": 50.0, ""gamma"": ""scale"", ""class_weight"": ""balanced"", ""probability"": true, ""random_state"": 42}",1200,400,400
